RULEFILE, String
D011OUWE, String
D016OUWE, String
D023ISCL, Float
D014ISCL, String
D027OUDA, String
D028GEOM, String
D026PIXF, Float
D016MASK, String
D026DATA, String
D019MASK, String
D026GEOM, String
D017OUUN, String
P2_NPTS, Integer
D027PIXF, Float
D018OUCO, String
D010VER, String
D028OUDA, String
D017VER, String
D019VER, String
D010FVAL, String
D016COEF, String
D018COEF, String
D018MASK, String
D018WTSC, Integer
D027SCAL, Float
D014DEXP, String
D031GEOM, String
D009MASK, String
D029GEOM, String
D032ISCL, Float
D017WTSC, Integer
D028FVAL, String
D018OUWE, String
D024FVAL, String
D030WTSC, Integer
D028WTSC, Integer
D025PIXF, Float
D021FVAL, String
D011SCAL, String
D016ISCL, String
D032PIXF, Float
D032COEF, String
D023MASK, String
D031OUDA, String
D019ISCL, Float
D011OUDA, String
D032WTSC, Integer
D010GEOM, String
D015KERN, String
D026SCAL, Float
D024SCAL, Float
D013OUWE, String
D026COEF, String
D016GEOM, String
D009ISCL, String
D023WTSC, Integer
D032GEOM, String
D022COEF, String
D023GEOM, String
D026FVAL, String
D020KERN, String
D026OUWE, String
D017OUDA, String
D029WTSC, Integer
D015GEOM, String
D013WTSC, String
D019WTSC, Integer
D023OUWE, String
D012MASK, String
D027WTSC, Integer
D019SCAL, Float
D010DEXP, String
D032VER, String
D024OUWE, String
D022SCAL, Float
D027COEF, String
D030SCAL, Float
D015MASK, String
D012OUUN, String
D032DATA, String
D021KERN, String
D016SCAL, String
D024GEOM, String
D022DATA, String
D020GEOM, String
D012ISCL, String
D021VER, String
D031MASK, String
D029DEXP, Float
D009OUUN, String
D025SCAL, Float
D032OUWE, String
D015OUWE, String
D023OUUN, String
D022FVAL, String
D021OUUN, String
P2_CENTR, String
D024MASK, String
D009VER, String
D024OUCO, String
D030KERN, String
D011OUCO, String
D030MASK, String
D017SCAL, Float
D023COEF, String
D019KERN, String
D014MASK, String
D024PIXF, Float
D021DATA, String
D018VER, String
D021SCAL, Float
D014SCAL, String
D021COEF, String
D013ISCL, String
P2_ORINT, Float
D023DEXP, Float
D029OUCO, String
D023DATA, String
D031DEXP, Float
D010KERN, String
D021OUCO, String
D018OUDA, String
D024VER, String
D023SCAL, Float
D009PIXF, String
D012COEF, String
D020DATA, String
D016VER, String
D025GEOM, String
D016WTSC, String
D016OUUN, String
D014FVAL, String
D031DATA, String
D022OUDA, String
D015DATA, String
D032OUUN, String
D012FVAL, String
D016KERN, String
D024DEXP, Float
D026MASK, String
D028DEXP, Float
D029OUDA, String
D025WTSC, Integer
D020ISCL, Float
D028ISCL, Float
D015WTSC, String
D011DEXP, String
D013OUCO, String
D010ISCL, String
D017OUWE, String
D019DATA, String
D011MASK, String
D010OUUN, String
D012DEXP, String
D026WTSC, Integer
D022KERN, String
D026VER, String
D011ISCL, String
D023OUDA, String
D024ISCL, Float
D030FVAL, String
D009KERN, String
D020COEF, String
D023VER, String
D024OUUN, String
D014COEF, String
D022GEOM, String
D021OUDA, String
D019OUUN, String
D013MASK, String
D023OUCO, String
D013KERN, String
D023KERN, String
D030OUUN, String
D025DATA, String
D009COEF, String
D029COEF, String
D030VER, String
D021OUWE, String
D014OUUN, String
D014OUCO, String
D018GEOM, String
D018FVAL, String
D020OUDA, String
D032SCAL, Float
D017PIXF, Float
D011GEOM, String
D010PIXF, String
D017GEOM, String
D031FVAL, String
D019PIXF, Float
D017DATA, String
D030OUWE, String
D028PIXF, Float
P2_PSPAC, Float
D018DATA, String
D021GEOM, String
D011FVAL, String
D029OUWE, String
QUALCOM1, String
D012DATA, String
D032OUCO, String
P2_SHAPE, String
D025DEXP, Float
D012KERN, String
D010SCAL, String
D009DEXP, String
D028OUWE, String
D027OUUN, String
D030DEXP, Float
D028VER, String
D009FVAL, String
D009DATA, String
D031OUCO, String
D028MASK, String
D024WTSC, Integer
D020DEXP, Float
D029KERN, String
D019GEOM, String
D028SCAL, Float
D025FVAL, String
D010DATA, String
D013FVAL, String
D020OUCO, String
P2_FRAME, String
D028KERN, String
D031OUWE, String
D031KERN, String
D018SCAL, Float
D017KERN, String
D030OUDA, String
D011WTSC, String
D020FVAL, String
D010OUCO, String
D015SCAL, String
D022OUCO, String
D009OUCO, String
D027VER, String
D029SCAL, Float
D024COEF, String
D022MASK, String
D031VER, String
D021PIXF, Float
D012SCAL, String
D017DEXP, Float
D018DEXP, Float
D015OUDA, String
D029DATA, String
D009OUWE, String
D027DATA, String
D017COEF, String
D029VER, String
D010WTSC, String
D009GEOM, String
D030COEF, String
D027KERN, String
D024KERN, String
D031ISCL, Float
D014OUWE, String
PATTERN2, String
P2_PURPS, String
D019OUDA, String
D029MASK, String
D027OUCO, String
D014PIXF, String
D019DEXP, Float
D023FVAL, String
D030OUCO, String
D010OUWE, String
D019OUWE, String
D013GEOM, String
D015VER, String
D030PIXF, Float
D013DATA, String
D026OUCO, String
D012OUWE, String
D010COEF, String
D020SCAL, Float
D016OUCO, String
D026ISCL, Float
D025OUUN, String
D029OUUN, String
D030GEOM, String
D010OUDA, String
D028OUUN, String
D013PIXF, String
D025OUCO, String
D026DEXP, Float
D017FVAL, String
D011KERN, String
D031OUUN, String
D031SCAL, Float
D011DATA, String
D031COEF, String
D020VER, String
D022DEXP, Float
D017MASK, String
QUALITY, String
D025VER, String
D021MASK, String
D032DEXP, Float
D014VER, String
D023PIXF, Float
D013OUDA, String
D020OUUN, String
D012PIXF, String
D026OUDA, String
D018PIXF, Float
D017OUCO, String
D016FVAL, String
D011PIXF, String
D013OUUN, String
D022VER, String
D011COEF, String
D010MASK, String
D025COEF, String
D019COEF, String
D024OUDA, String
D016OUDA, String
D012OUDA, String
D029ISCL, Float
D012GEOM, String
D032MASK, String
D027GEOM, String
D021WTSC, Integer
D020WTSC, Integer
D013VER, String
D018KERN, String
D032FVAL, String
D020MASK, String
D027MASK, String
D032OUDA, String
D009SCAL, String
QUALCOM2, String
D022OUUN, String
D028COEF, String
D014KERN, String
D025KERN, String
D009OUDA, String
D022ISCL, Float
D019OUCO, String
D030ISCL, Float
D021ISCL, Float
D025ISCL, Float
D026KERN, String
D015FVAL, String
D025OUWE, String
D019FVAL, String
D030DATA, String
D015OUCO, String
D022OUWE, String
D016DEXP, String
D016PIXF, String
D028OUCO, String
D014WTSC, String
D026OUUN, String
D015COEF, String
D025MASK, String
D014GEOM, String
D012VER, String
D012OUCO, String
D011VER, String
D017ISCL, Float
D015PIXF, String
D014DATA, String
D013DEXP, String
D018OUUN, String
D018ISCL, Float
D015OUUN, String
D029FVAL, String
